global_time,program_time,delta_time,thumb_metacarp_x,thumb_metacarp_y,thumb_metacarp_z,thumb_interphal_prox_x,thumb_interphal_prox_y,thumb_interphal_prox_z,thumb_interphal_dist_x,thumb_interphal_dist_y,thumb_interphal_dist_z,thumb_tip_x,thumb_tip_y,thumb_tip_z,index_metacarp_x,index_metacarp_y,index_metacarp_z,index_interphal_prox_x,index_interphal_prox_y,index_interphal_prox_z,index_interphal_dist_x,index_interphal_dist_y,index_interphal_dist_z,index_tip_x,index_tip_y,index_tip_z,middle_metacarp_x,middle_metacarp_y,middle_metacarp_z,middle_interphal_prox_x,middle_interphal_prox_y,middle_interphal_prox_z,middle_interphal_dist_x,middle_interphal_dist_y,middle_interphal_dist_z,middle_tip_x,middle_tip_y,middle_tip_z,ring_metacarp_x,ring_metacarp_y,ring_metacarp_z,ring_interphal_prox_x,ring_interphal_prox_y,ring_interphal_prox_z,ring_interphal_dist_x,ring_interphal_dist_y,ring_interphal_dist_z,ring_tip_x,ring_tip_y,ring_tip_z,pinky_metacarp_x,pinky_metacarp_y,pinky_metacarp_z,pinky_interphal_prox_x,pinky_interphal_prox_y,pinky_interphal_prox_z,pinky_interphal_dist_x,pinky_interphal_dist_y,pinky_interphal_dist_z,pinky_tip_x,pinky_tip_y,pinky_tip_z,palm_x,palm_y,palm_z,pinch_position_x,pinch_position_y,pinch_position_z,pinch_pred_position_x,pinch_pred_position_y,pinch_pred_position_z,is_pinching,pinch_strength,pinch_distance,grab_strength,confidence
11:46:40:9048,3.3039,0.0167,-0.1502,0.0525,-0.0122,-0.1054,0.0514,0.0162,-0.0835,0.0461,0.0319,-0.0722,0.0420,0.0429,-0.1158,0.0648,0.0540,-0.1025,0.0655,0.0817,-0.0932,0.0601,0.1003,-0.0859,0.0523,0.1125,-0.1327,0.0637,0.0627,-0.1188,0.0610,0.0975,-0.1078,0.0515,0.1193,-0.0998,0.0417,0.1309,-0.1547,0.0574,0.0668,-0.1456,0.0567,0.1024,-0.1387,0.0500,0.1207,-0.1324,0.0411,0.1320,-0.1738,0.0484,0.0633,-0.1716,0.0487,0.0888,-0.1675,0.0437,0.1070,-0.1632,0.0373,0.1176,-0.1454,0.0554,0.0420,-0.0767,0.0454,0.0661,-0.0909,0.0319,0.0658,0,0.0000,56.6614,0.00,1.00
11:46:40:9317,3.3309,0.0167,-0.1502,0.0525,-0.0122,-0.1054,0.0514,0.0162,-0.0835,0.0461,0.0319,-0.0722,0.0420,0.0429,-0.1158,0.0648,0.0540,-0.1025,0.0655,0.0817,-0.0932,0.0601,0.1003,-0.0859,0.0523,0.1125,-0.1327,0.0637,0.0627,-0.1188,0.0610,0.0975,-0.1078,0.0515,0.1193,-0.0998,0.0417,0.1309,-0.1547,0.0574,0.0668,-0.1456,0.0567,0.1024,-0.1387,0.0500,0.1207,-0.1324,0.0411,0.1320,-0.1738,0.0484,0.0633,-0.1716,0.0487,0.0888,-0.1675,0.0437,0.1070,-0.1632,0.0373,0.1176,-0.1454,0.0554,0.0420,-0.0767,0.0454,0.0661,-0.0909,0.0319,0.0658,0,0.0000,56.6614,0.00,1.00
11:46:40:9374,3.3365,0.0167,-0.1503,0.0528,-0.0122,-0.1048,0.0511,0.0158,-0.0822,0.0455,0.0309,-0.0706,0.0411,0.0412,-0.1159,0.0673,0.0538,-0.1027,0.0689,0.0813,-0.0933,0.0641,0.0999,-0.0858,0.0568,0.1123,-0.1327,0.0661,0.0626,-0.1181,0.0644,0.0974,-0.1059,0.0550,0.1189,-0.0974,0.0455,0.1303,-0.1546,0.0597,0.0668,-0.1449,0.0575,0.1023,-0.1372,0.0496,0.1199,-0.1303,0.0403,0.1306,-0.1735,0.0503,0.0636,-0.1703,0.0499,0.0893,-0.1647,0.0441,0.1067,-0.1593,0.0373,0.1167,-0.1453,0.0572,0.0420,-0.0757,0.0464,0.0649,-0.0902,0.0350,0.0660,0,0.0000,59.2532,0.00,1.00
11:46:40:9544,3.3536,0.0167,-0.1500,0.0528,-0.0121,-0.1044,0.0511,0.0157,-0.0818,0.0454,0.0308,-0.0702,0.0411,0.0411,-0.1157,0.0677,0.0538,-0.1027,0.0691,0.0815,-0.0935,0.0643,0.1003,-0.0861,0.0569,0.1127,-0.1324,0.0665,0.0627,-0.1177,0.0647,0.0976,-0.1054,0.0553,0.1190,-0.0968,0.0458,0.1303,-0.1543,0.0601,0.0669,-0.1445,0.0576,0.1024,-0.1368,0.0496,0.1199,-0.1299,0.0400,0.1304,-0.1732,0.0507,0.0637,-0.1699,0.0502,0.0895,-0.1641,0.0442,0.1068,-0.1586,0.0373,0.1166,-0.1450,0.0575,0.0421,-0.0755,0.0463,0.0649,-0.0900,0.0352,0.0662,0,0.0000,59.7781,0.00,1.00
11:46:40:9710,3.3702,0.0167,-0.1489,0.0534,-0.0122,-0.1035,0.0518,0.0157,-0.0812,0.0461,0.0309,-0.0697,0.0417,0.0414,-0.1147,0.0686,0.0537,-0.1019,0.0696,0.0816,-0.0927,0.0643,0.1004,-0.0854,0.0565,0.1127,-0.1313,0.0676,0.0626,-0.1163,0.0655,0.0976,-0.1038,0.0554,0.1189,-0.0951,0.0452,0.1299,-0.1533,0.0613,0.0669,-0.1432,0.0581,0.1024,-0.1355,0.0492,0.1196,-0.1285,0.0390,0.1295,-0.1722,0.0520,0.0638,-0.1685,0.0509,0.0897,-0.1624,0.0439,0.1068,-0.1568,0.0364,0.1161,-0.1439,0.0585,0.0421,-0.0749,0.0466,0.0652,-0.0891,0.0357,0.0664,0,0.0000,59.5455,0.00,1.00
11:46:40:9873,3.3865,0.0167,-0.1485,0.0538,-0.0126,-0.1036,0.0524,0.0155,-0.0816,0.0469,0.0310,-0.0702,0.0425,0.0418,-0.1142,0.0695,0.0531,-0.1013,0.0704,0.0809,-0.0920,0.0650,0.0997,-0.0845,0.0570,0.1119,-0.1308,0.0686,0.0621,-0.1156,0.0662,0.0971,-0.1030,0.0555,0.1181,-0.0943,0.0449,0.1286,-0.1528,0.0624,0.0665,-0.1426,0.0585,0.1019,-0.1346,0.0488,0.1188,-0.1275,0.0381,0.1282,-0.1718,0.0532,0.0635,-0.1678,0.0515,0.0894,-0.1614,0.0438,0.1063,-0.1556,0.0358,0.1151,-0.1435,0.0593,0.0417,-0.0750,0.0473,0.0651,-0.0887,0.0365,0.0661,0,0.0000,58.5598,0.00,1.00
11:46:41:0044,3.4035,0.0167,-0.1483,0.0556,-0.0144,-0.1053,0.0548,0.0155,-0.0841,0.0505,0.0318,-0.0726,0.0474,0.0433,-0.1136,0.0731,0.0510,-0.0993,0.0749,0.0778,-0.0892,0.0694,0.0963,-0.0816,0.0609,0.1089,-0.1302,0.0723,0.0601,-0.1145,0.0689,0.0948,-0.1015,0.0566,0.1147,-0.0928,0.0451,0.1241,-0.1521,0.0662,0.0646,-0.1413,0.0605,0.0998,-0.1329,0.0494,0.1157,-0.1257,0.0379,0.1240,-0.1711,0.0568,0.0619,-0.1663,0.0541,0.0876,-0.1594,0.0452,0.1036,-0.1532,0.0365,0.1113,-0.1429,0.0625,0.0399,-0.0756,0.0519,0.0652,-0.0876,0.0403,0.0648,0,0.0000,54.1878,0.00,1.00
11:46:41:0211,3.4203,0.0167,-0.1478,0.0570,-0.0157,-0.1052,0.0568,0.0149,-0.0843,0.0533,0.0317,-0.0727,0.0509,0.0436,-0.1129,0.0760,0.0497,-0.0982,0.0784,0.0762,-0.0877,0.0727,0.0946,-0.0798,0.0639,0.1071,-0.1294,0.0753,0.0588,-0.1136,0.0711,0.0935,-0.1006,0.0581,0.1131,-0.0919,0.0460,0.1220,-0.1512,0.0691,0.0634,-0.1403,0.0624,0.0985,-0.1318,0.0503,0.1139,-0.1246,0.0382,0.1217,-0.1700,0.0595,0.0608,-0.1646,0.0563,0.0865,-0.1572,0.0467,0.1018,-0.1508,0.0375,0.1088,-0.1420,0.0650,0.0386,-0.0751,0.0552,0.0648,-0.0865,0.0435,0.0640,0,0.0000,52.9478,0.00,1.00
11:46:41:0372,3.4364,0.0167,-0.1471,0.0612,-0.0172,-0.1050,0.0622,0.0140,-0.0841,0.0598,0.0310,-0.0721,0.0583,0.0430,-0.1123,0.0835,0.0479,-0.0970,0.0876,0.0744,-0.0860,0.0830,0.0932,-0.0776,0.0747,0.1066,-0.1285,0.0825,0.0570,-0.1139,0.0781,0.0918,-0.1013,0.0638,0.1116,-0.0926,0.0512,0.1204,-0.1499,0.0758,0.0618,-0.1394,0.0675,0.0967,-0.1310,0.0540,0.1116,-0.1237,0.0410,0.1183,-0.1683,0.0657,0.0594,-0.1617,0.0617,0.0849,-0.1526,0.0502,0.0990,-0.1452,0.0402,0.1042,-0.1409,0.0711,0.0370,-0.0739,0.0637,0.0642,-0.0841,0.0518,0.0635,0,0.0000,53.1561,0.00,1.00
11:46:41:0538,3.4530,0.0167,-0.1462,0.0641,-0.0178,-0.1045,0.0656,0.0136,-0.0837,0.0636,0.0306,-0.0716,0.0624,0.0426,-0.1123,0.0888,0.0470,-0.0971,0.0934,0.0740,-0.0861,0.0889,0.0935,-0.0776,0.0807,0.1073,-0.1284,0.0874,0.0561,-0.1151,0.0847,0.0913,-0.1028,0.0710,0.1119,-0.0939,0.0586,0.1210,-0.1494,0.0799,0.0609,-0.1400,0.0722,0.0962,-0.1316,0.0587,0.1113,-0.1241,0.0461,0.1180,-0.1674,0.0692,0.0586,-0.1608,0.0651,0.0842,-0.1512,0.0535,0.0980,-0.1434,0.0436,0.1031,-0.1402,0.0751,0.0362,-0.0736,0.0685,0.0642,-0.0824,0.0576,0.0633,0,0.0000,54.4073,0.00,1.00
