global_time,program_time,delta_time,thumb_metacarp_x,thumb_metacarp_y,thumb_metacarp_z,thumb_interphal_prox_x,thumb_interphal_prox_y,thumb_interphal_prox_z,thumb_interphal_dist_x,thumb_interphal_dist_y,thumb_interphal_dist_z,thumb_tip_x,thumb_tip_y,thumb_tip_z,index_metacarp_x,index_metacarp_y,index_metacarp_z,index_interphal_prox_x,index_interphal_prox_y,index_interphal_prox_z,index_interphal_dist_x,index_interphal_dist_y,index_interphal_dist_z,index_tip_x,index_tip_y,index_tip_z,middle_metacarp_x,middle_metacarp_y,middle_metacarp_z,middle_interphal_prox_x,middle_interphal_prox_y,middle_interphal_prox_z,middle_interphal_dist_x,middle_interphal_dist_y,middle_interphal_dist_z,middle_tip_x,middle_tip_y,middle_tip_z,ring_metacarp_x,ring_metacarp_y,ring_metacarp_z,ring_interphal_prox_x,ring_interphal_prox_y,ring_interphal_prox_z,ring_interphal_dist_x,ring_interphal_dist_y,ring_interphal_dist_z,ring_tip_x,ring_tip_y,ring_tip_z,pinky_metacarp_x,pinky_metacarp_y,pinky_metacarp_z,pinky_interphal_prox_x,pinky_interphal_prox_y,pinky_interphal_prox_z,pinky_interphal_dist_x,pinky_interphal_dist_y,pinky_interphal_dist_z,pinky_tip_x,pinky_tip_y,pinky_tip_z,palm_x,palm_y,palm_z,pinch_position_x,pinch_position_y,pinch_position_z,pinch_pred_position_x,pinch_pred_position_y,pinch_pred_position_z,is_pinching,pinch_strength,pinch_distance,grab_strength,confidence
11:46:40:9048,3.3039,0.0167,0.1190,0.1622,-0.0370,0.0719,0.1797,-0.0243,0.0474,0.1879,-0.0136,0.0314,0.1927,-0.0050,0.0941,0.2204,0.0094,0.0789,0.2477,0.0279,0.0657,0.2613,0.0437,0.0528,0.2667,0.0588,0.1105,0.2177,0.0199,0.1006,0.2416,0.0503,0.0883,0.2503,0.0742,0.0776,0.2500,0.0900,0.1299,0.2073,0.0294,0.1223,0.2258,0.0628,0.1124,0.2287,0.0829,0.1028,0.2255,0.0958,0.1448,0.1924,0.0339,0.1407,0.1957,0.0611,0.1294,0.1904,0.0783,0.1193,0.1838,0.0862,0.1185,0.1959,0.0079,0.0385,0.2174,0.0163,0.0519,0.2066,0.0340,0,0.0000,79.3707,0.00,1.00
11:46:40:9317,3.3309,0.0167,0.1190,0.1622,-0.0370,0.0719,0.1797,-0.0243,0.0474,0.1879,-0.0136,0.0314,0.1927,-0.0050,0.0941,0.2204,0.0094,0.0789,0.2477,0.0279,0.0657,0.2613,0.0437,0.0528,0.2667,0.0588,0.1105,0.2177,0.0199,0.1006,0.2416,0.0503,0.0883,0.2503,0.0742,0.0776,0.2500,0.0900,0.1299,0.2073,0.0294,0.1223,0.2258,0.0628,0.1124,0.2287,0.0829,0.1028,0.2255,0.0958,0.1448,0.1924,0.0339,0.1407,0.1957,0.0611,0.1294,0.1904,0.0783,0.1193,0.1838,0.0862,0.1185,0.1959,0.0079,0.0385,0.2174,0.0163,0.0519,0.2066,0.0340,0,0.0000,79.3707,0.00,1.00
11:46:40:9374,3.3365,0.0167,0.1193,0.1619,-0.0370,0.0723,0.1793,-0.0242,0.0478,0.1875,-0.0135,0.0318,0.1924,-0.0050,0.0944,0.2200,0.0095,0.0792,0.2473,0.0282,0.0659,0.2608,0.0441,0.0530,0.2662,0.0593,0.1108,0.2172,0.0200,0.1010,0.2412,0.0505,0.0887,0.2502,0.0744,0.0780,0.2500,0.0903,0.1302,0.2068,0.0295,0.1227,0.2253,0.0631,0.1129,0.2283,0.0833,0.1032,0.2250,0.0963,0.1451,0.1918,0.0340,0.1410,0.1951,0.0612,0.1297,0.1899,0.0784,0.1196,0.1833,0.0864,0.1188,0.1955,0.0079,0.0389,0.2170,0.0164,0.0521,0.2061,0.0341,0,0.0000,79.3175,0.00,1.00
11:46:40:9544,3.3536,0.0167,0.1194,0.1619,-0.0370,0.0724,0.1794,-0.0242,0.0480,0.1875,-0.0135,0.0319,0.1924,-0.0049,0.0946,0.2200,0.0096,0.0793,0.2472,0.0283,0.0661,0.2608,0.0442,0.0531,0.2662,0.0594,0.1109,0.2172,0.0201,0.1011,0.2412,0.0506,0.0889,0.2501,0.0745,0.0782,0.2500,0.0904,0.1303,0.2067,0.0295,0.1228,0.2252,0.0632,0.1130,0.2282,0.0834,0.1034,0.2249,0.0964,0.1452,0.1918,0.0340,0.1411,0.1951,0.0613,0.1299,0.1898,0.0785,0.1197,0.1831,0.0864,0.1189,0.1955,0.0080,0.0390,0.2170,0.0165,0.0522,0.2061,0.0342,0,0.0000,79.3219,0.00,1.00
11:46:40:9710,3.3702,0.0167,0.1196,0.1619,-0.0370,0.0726,0.1794,-0.0241,0.0481,0.1876,-0.0134,0.0321,0.1925,-0.0049,0.0947,0.2199,0.0097,0.0795,0.2472,0.0284,0.0663,0.2607,0.0443,0.0533,0.2661,0.0596,0.1111,0.2171,0.0202,0.1013,0.2412,0.0507,0.0891,0.2501,0.0746,0.0784,0.2500,0.0905,0.1305,0.2067,0.0296,0.1230,0.2251,0.0633,0.1132,0.2280,0.0835,0.1035,0.2247,0.0965,0.1454,0.1917,0.0341,0.1412,0.1949,0.0614,0.1300,0.1897,0.0785,0.1198,0.1830,0.0865,0.1191,0.1954,0.0080,0.0392,0.2171,0.0166,0.0524,0.2060,0.0343,0,0.0000,79.2397,0.00,1.00
11:46:40:9873,3.3865,0.0167,0.1196,0.1619,-0.0370,0.0726,0.1794,-0.0241,0.0481,0.1877,-0.0134,0.0321,0.1926,-0.0049,0.0948,0.2199,0.0097,0.0795,0.2472,0.0285,0.0663,0.2607,0.0444,0.0534,0.2661,0.0596,0.1111,0.2171,0.0202,0.1013,0.2412,0.0507,0.0891,0.2501,0.0746,0.0784,0.2500,0.0906,0.1305,0.2066,0.0296,0.1230,0.2251,0.0633,0.1132,0.2280,0.0835,0.1035,0.2247,0.0965,0.1454,0.1917,0.0341,0.1413,0.1949,0.0614,0.1301,0.1897,0.0785,0.1199,0.1830,0.0865,0.1191,0.1954,0.0081,0.0392,0.2171,0.0166,0.0524,0.2060,0.0344,0,0.0000,79.2173,0.00,1.00
11:46:41:0044,3.4035,0.0167,0.1196,0.1621,-0.0371,0.0727,0.1797,-0.0242,0.0482,0.1880,-0.0135,0.0322,0.1928,-0.0049,0.0948,0.2201,0.0097,0.0796,0.2473,0.0284,0.0664,0.2609,0.0444,0.0534,0.2663,0.0596,0.1111,0.2173,0.0202,0.1014,0.2413,0.0507,0.0891,0.2501,0.0747,0.0784,0.2499,0.0906,0.1306,0.2068,0.0295,0.1231,0.2252,0.0633,0.1133,0.2281,0.0835,0.1036,0.2248,0.0965,0.1455,0.1919,0.0340,0.1414,0.1951,0.0613,0.1302,0.1899,0.0785,0.1200,0.1832,0.0864,0.1192,0.1956,0.0080,0.0393,0.2173,0.0166,0.0525,0.2062,0.0344,0,0.0000,79.1543,0.00,1.00
11:46:41:0211,3.4203,0.0167,0.1197,0.1623,-0.0371,0.0727,0.1798,-0.0242,0.0483,0.1881,-0.0135,0.0323,0.1930,-0.0049,0.0948,0.2202,0.0097,0.0796,0.2475,0.0284,0.0664,0.2610,0.0444,0.0534,0.2664,0.0596,0.1112,0.2175,0.0202,0.1014,0.2414,0.0507,0.0891,0.2502,0.0747,0.0784,0.2500,0.0906,0.1306,0.2070,0.0295,0.1231,0.2254,0.0633,0.1133,0.2283,0.0835,0.1037,0.2250,0.0964,0.1455,0.1921,0.0340,0.1414,0.1953,0.0613,0.1302,0.1900,0.0785,0.1201,0.1833,0.0864,0.1192,0.1958,0.0080,0.0393,0.2175,0.0166,0.0526,0.2063,0.0344,0,0.0000,79.1541,0.00,1.00
11:46:41:0372,3.4364,0.0167,0.1197,0.1625,-0.0372,0.0728,0.1799,-0.0243,0.0483,0.1880,-0.0136,0.0323,0.1927,-0.0050,0.0949,0.2206,0.0095,0.0796,0.2479,0.0282,0.0664,0.2614,0.0442,0.0533,0.2668,0.0594,0.1112,0.2178,0.0200,0.1014,0.2417,0.0506,0.0890,0.2503,0.0745,0.0783,0.2500,0.0904,0.1307,0.2074,0.0293,0.1232,0.2259,0.0631,0.1134,0.2288,0.0832,0.1037,0.2256,0.0962,0.1456,0.1925,0.0338,0.1416,0.1957,0.0612,0.1304,0.1904,0.0783,0.1203,0.1838,0.0863,0.1193,0.1961,0.0078,0.0393,0.2174,0.0164,0.0526,0.2066,0.0342,0,0.0000,79.4512,0.00,1.00
11:46:41:0538,3.4530,0.0167,0.1198,0.1629,-0.0373,0.0728,0.1801,-0.0244,0.0484,0.1880,-0.0136,0.0324,0.1926,-0.0051,0.0950,0.2210,0.0094,0.0797,0.2482,0.0281,0.0664,0.2617,0.0440,0.0534,0.2672,0.0593,0.1113,0.2182,0.0198,0.1014,0.2420,0.0505,0.0891,0.2506,0.0745,0.0783,0.2503,0.0904,0.1308,0.2078,0.0292,0.1233,0.2264,0.0629,0.1135,0.2294,0.0831,0.1039,0.2262,0.0961,0.1457,0.1929,0.0337,0.1417,0.1962,0.0610,0.1305,0.1909,0.0782,0.1204,0.1842,0.0862,0.1194,0.1965,0.0077,0.0394,0.2175,0.0164,0.0526,0.2069,0.0341,0,0.0000,79.6892,0.00,1.00
11:46:41:0708,3.4700,0.0167,0.1200,0.1637,-0.0375,0.0729,0.1804,-0.0245,0.0484,0.1880,-0.0137,0.0325,0.1924,-0.0051,0.0951,0.2219,0.0091,0.0798,0.2491,0.0278,0.0665,0.2627,0.0438,0.0535,0.2681,0.0590,0.1114,0.2191,0.0196,0.1015,0.2429,0.0503,0.0892,0.2514,0.0743,0.0784,0.2510,0.0901,0.1309,0.2088,0.0290,0.1235,0.2274,0.0626,0.1138,0.2304,0.0828,0.1042,0.2272,0.0958,0.1459,0.1939,0.0335,0.1418,0.1971,0.0608,0.1306,0.1918,0.0780,0.1205,0.1851,0.0859,0.1195,0.1974,0.0075,0.0395,0.2176,0.0163,0.0527,0.2076,0.0337,0,0.0000,80.2850,0.00,1.00
