global_time,program_time,delta_time,thumb_metacarp_x,thumb_metacarp_y,thumb_metacarp_z,thumb_interphal_prox_x,thumb_interphal_prox_y,thumb_interphal_prox_z,thumb_interphal_dist_x,thumb_interphal_dist_y,thumb_interphal_dist_z,thumb_tip_x,thumb_tip_y,thumb_tip_z,index_metacarp_x,index_metacarp_y,index_metacarp_z,index_interphal_prox_x,index_interphal_prox_y,index_interphal_prox_z,index_interphal_dist_x,index_interphal_dist_y,index_interphal_dist_z,index_tip_x,index_tip_y,index_tip_z,middle_metacarp_x,middle_metacarp_y,middle_metacarp_z,middle_interphal_prox_x,middle_interphal_prox_y,middle_interphal_prox_z,middle_interphal_dist_x,middle_interphal_dist_y,middle_interphal_dist_z,middle_tip_x,middle_tip_y,middle_tip_z,ring_metacarp_x,ring_metacarp_y,ring_metacarp_z,ring_interphal_prox_x,ring_interphal_prox_y,ring_interphal_prox_z,ring_interphal_dist_x,ring_interphal_dist_y,ring_interphal_dist_z,ring_tip_x,ring_tip_y,ring_tip_z,pinky_metacarp_x,pinky_metacarp_y,pinky_metacarp_z,pinky_interphal_prox_x,pinky_interphal_prox_y,pinky_interphal_prox_z,pinky_interphal_dist_x,pinky_interphal_dist_y,pinky_interphal_dist_z,pinky_tip_x,pinky_tip_y,pinky_tip_z,palm_x,palm_y,palm_z,pinch_position_x,pinch_position_y,pinch_position_z,pinch_pred_position_x,pinch_pred_position_y,pinch_pred_position_z,is_pinching,pinch_strength,pinch_distance,grab_strength,confidence
11:44:49:5918,7.7868,0.0333,0.0550,0.7778,0.0149,0.0116,0.7654,0.0397,-0.0091,0.7557,0.0575,-0.0163,0.7467,0.0728,0.0185,0.7902,0.0830,-0.0026,0.7841,0.1091,-0.0155,0.7738,0.1233,-0.0251,0.7634,0.1329,0.0359,0.7891,0.0921,0.0186,0.7884,0.1279,0.0044,0.7803,0.1511,-0.0047,0.7719,0.1653,0.0582,0.7835,0.0964,0.0486,0.7835,0.1345,0.0414,0.7788,0.1548,0.0357,0.7728,0.1694,0.0772,0.7753,0.0942,0.0760,0.7753,0.1212,0.0724,0.7706,0.1411,0.0685,0.7652,0.1537,0.0488,0.7810,0.0712,-0.0193,0.7523,0.0928,-0.0096,0.7511,0.0920,0,0.0334,57.3889,0.00,1.00
11:44:49:6463,7.8414,0.0167,0.0550,0.7778,0.0149,0.0116,0.7654,0.0397,-0.0091,0.7557,0.0575,-0.0163,0.7467,0.0728,0.0185,0.7902,0.0830,-0.0026,0.7841,0.1091,-0.0155,0.7738,0.1233,-0.0251,0.7634,0.1329,0.0359,0.7891,0.0921,0.0186,0.7884,0.1279,0.0044,0.7803,0.1511,-0.0047,0.7719,0.1653,0.0582,0.7835,0.0964,0.0486,0.7835,0.1345,0.0414,0.7788,0.1548,0.0357,0.7728,0.1694,0.0772,0.7753,0.0942,0.0760,0.7753,0.1212,0.0724,0.7706,0.1411,0.0685,0.7652,0.1537,0.0488,0.7810,0.0712,-0.0193,0.7523,0.0928,-0.0096,0.7511,0.0920,0,0.0334,57.3889,0.00,1.00
11:44:49:6473,7.8424,0.0167,0.0545,0.7807,0.0153,0.0111,0.7680,0.0400,-0.0095,0.7579,0.0578,-0.0165,0.7484,0.0730,0.0185,0.7929,0.0838,-0.0024,0.7859,0.1099,-0.0153,0.7747,0.1236,-0.0247,0.7634,0.1325,0.0359,0.7913,0.0928,0.0189,0.7909,0.1289,0.0046,0.7828,0.1523,-0.0046,0.7743,0.1665,0.0582,0.7853,0.0969,0.0486,0.7853,0.1352,0.0411,0.7804,0.1555,0.0350,0.7740,0.1701,0.0771,0.7768,0.0944,0.0759,0.7765,0.1215,0.0721,0.7714,0.1412,0.0679,0.7658,0.1537,0.0487,0.7833,0.0717,-0.0192,0.7534,0.0929,-0.0101,0.7532,0.0922,0,0.0624,57.0269,0.00,1.00
11:44:49:6573,7.8524,0.0167,0.0545,0.7821,0.0159,0.0110,0.7693,0.0406,-0.0096,0.7591,0.0585,-0.0165,0.7494,0.0737,0.0186,0.7938,0.0846,-0.0023,0.7866,0.1107,-0.0152,0.7754,0.1245,-0.0247,0.7640,0.1334,0.0360,0.7921,0.0936,0.0190,0.7912,0.1299,0.0047,0.7827,0.1532,-0.0047,0.7740,0.1672,0.0583,0.7858,0.0976,0.0488,0.7853,0.1360,0.0416,0.7803,0.1566,0.0357,0.7738,0.1715,0.0771,0.7772,0.0950,0.0754,0.7766,0.1221,0.0711,0.7714,0.1417,0.0666,0.7657,0.1539,0.0487,0.7841,0.0723,-0.0192,0.7543,0.0936,-0.0103,0.7540,0.0926,0,0.0582,57.0604,0.00,1.00
11:44:49:6734,7.8684,0.0168,0.0541,0.7851,0.0173,0.0103,0.7735,0.0419,-0.0104,0.7636,0.0600,-0.0171,0.7537,0.0753,0.0184,0.7955,0.0863,-0.0025,0.7884,0.1126,-0.0157,0.7773,0.1265,-0.0255,0.7661,0.1355,0.0357,0.7934,0.0953,0.0187,0.7919,0.1316,0.0043,0.7832,0.1547,-0.0051,0.7742,0.1685,0.0578,0.7866,0.0991,0.0482,0.7857,0.1375,0.0409,0.7807,0.1581,0.0350,0.7743,0.1730,0.0764,0.7778,0.0963,0.0740,0.7764,0.1233,0.0692,0.7710,0.1426,0.0644,0.7652,0.1546,0.0483,0.7857,0.0738,-0.0199,0.7578,0.0954,-0.0112,0.7564,0.0938,0,0.0618,56.3022,0.00,1.00
11:44:49:6915,7.8866,0.0167,0.0535,0.7875,0.0186,0.0091,0.7767,0.0424,-0.0117,0.7668,0.0601,-0.0183,0.7566,0.0753,0.0181,0.7970,0.0879,-0.0029,0.7895,0.1142,-0.0160,0.7783,0.1280,-0.0259,0.7672,0.1369,0.0354,0.7944,0.0968,0.0180,0.7922,0.1330,0.0031,0.7832,0.1559,-0.0068,0.7743,0.1697,0.0574,0.7872,0.1004,0.0479,0.7856,0.1389,0.0408,0.7805,0.1596,0.0349,0.7740,0.1746,0.0759,0.7781,0.0973,0.0735,0.7761,0.1243,0.0687,0.7705,0.1435,0.0640,0.7645,0.1553,0.0478,0.7870,0.0751,-0.0209,0.7601,0.0959,-0.0121,0.7584,0.0946,0,0.0361,57.0691,0.00,1.00
11:44:49:7070,7.9020,0.0167,0.0541,0.7926,0.0208,0.0090,0.7839,0.0434,-0.0125,0.7746,0.0608,-0.0197,0.7645,0.0758,0.0190,0.8005,0.0907,-0.0024,0.7933,0.1170,-0.0166,0.7830,0.1310,-0.0277,0.7725,0.1401,0.0363,0.7972,0.0994,0.0190,0.7946,0.1360,0.0042,0.7857,0.1590,-0.0058,0.7769,0.1728,0.0581,0.7892,0.1025,0.0488,0.7872,0.1413,0.0417,0.7823,0.1621,0.0358,0.7761,0.1773,0.0763,0.7797,0.0991,0.0744,0.7775,0.1265,0.0703,0.7723,0.1462,0.0660,0.7669,0.1587,0.0485,0.7902,0.0773,-0.0224,0.7672,0.0973,-0.0127,0.7631,0.0964,0,0.0000,58.2409,0.00,1.00
11:44:49:7236,7.9187,0.0167,0.0549,0.7956,0.0223,0.0097,0.7881,0.0441,-0.0118,0.7795,0.0611,-0.0193,0.7697,0.0761,0.0197,0.8029,0.0923,-0.0021,0.7958,0.1185,-0.0165,0.7856,0.1323,-0.0276,0.7751,0.1413,0.0370,0.7994,0.1009,0.0196,0.7963,0.1373,0.0048,0.7872,0.1600,-0.0052,0.7784,0.1736,0.0587,0.7913,0.1041,0.0494,0.7890,0.1428,0.0424,0.7840,0.1634,0.0364,0.7778,0.1785,0.0768,0.7818,0.1006,0.0752,0.7796,0.1279,0.0717,0.7745,0.1477,0.0676,0.7692,0.1604,0.0491,0.7927,0.0789,-0.0220,0.7715,0.0978,-0.0121,0.7660,0.0975,0,0.0000,58.5120,0.00,1.00
11:44:49:7405,7.9356,0.0167,0.0584,0.8065,0.0282,0.0118,0.8005,0.0493,-0.0115,0.7932,0.0653,-0.0209,0.7843,0.0794,0.0224,0.8130,0.0980,0.0009,0.8060,0.1240,-0.0131,0.7960,0.1377,-0.0243,0.7860,0.1470,0.0395,0.8091,0.1068,0.0220,0.8064,0.1429,0.0073,0.7981,0.1654,-0.0029,0.7901,0.1792,0.0611,0.8008,0.1100,0.0509,0.7980,0.1484,0.0431,0.7925,0.1686,0.0364,0.7862,0.1828,0.0791,0.7912,0.1064,0.0778,0.7883,0.1336,0.0741,0.7827,0.1532,0.0698,0.7772,0.1655,0.0519,0.8026,0.0847,-0.0220,0.7849,0.1020,-0.0095,0.7772,0.1029,0,0.0000,60.0175,0.00,1.00
11:44:49:7570,7.9521,0.0167,0.0608,0.8130,0.0304,0.0138,0.8070,0.0510,-0.0096,0.7995,0.0668,-0.0187,0.7902,0.0808,0.0243,0.8192,0.1001,0.0029,0.8127,0.1257,-0.0111,0.8033,0.1394,-0.0223,0.7937,0.1486,0.0413,0.8151,0.1089,0.0232,0.8134,0.1440,0.0082,0.8062,0.1659,-0.0021,0.7987,0.1795,0.0627,0.8066,0.1122,0.0530,0.8040,0.1506,0.0453,0.7986,0.1705,0.0387,0.7921,0.1844,0.0807,0.7969,0.1087,0.0786,0.7939,0.1356,0.0739,0.7881,0.1546,0.0690,0.7826,0.1660,0.0538,0.8088,0.0868,-0.0199,0.7913,0.1034,-0.0076,0.7840,0.1043,0,0.0000,60.5012,0.00,1.00
