global_time,program_time,delta_time,thumb_metacarp_x,thumb_metacarp_y,thumb_metacarp_z,thumb_interphal_prox_x,thumb_interphal_prox_y,thumb_interphal_prox_z,thumb_interphal_dist_x,thumb_interphal_dist_y,thumb_interphal_dist_z,thumb_tip_x,thumb_tip_y,thumb_tip_z,index_metacarp_x,index_metacarp_y,index_metacarp_z,index_interphal_prox_x,index_interphal_prox_y,index_interphal_prox_z,index_interphal_dist_x,index_interphal_dist_y,index_interphal_dist_z,index_tip_x,index_tip_y,index_tip_z,middle_metacarp_x,middle_metacarp_y,middle_metacarp_z,middle_interphal_prox_x,middle_interphal_prox_y,middle_interphal_prox_z,middle_interphal_dist_x,middle_interphal_dist_y,middle_interphal_dist_z,middle_tip_x,middle_tip_y,middle_tip_z,ring_metacarp_x,ring_metacarp_y,ring_metacarp_z,ring_interphal_prox_x,ring_interphal_prox_y,ring_interphal_prox_z,ring_interphal_dist_x,ring_interphal_dist_y,ring_interphal_dist_z,ring_tip_x,ring_tip_y,ring_tip_z,pinky_metacarp_x,pinky_metacarp_y,pinky_metacarp_z,pinky_interphal_prox_x,pinky_interphal_prox_y,pinky_interphal_prox_z,pinky_interphal_dist_x,pinky_interphal_dist_y,pinky_interphal_dist_z,pinky_tip_x,pinky_tip_y,pinky_tip_z,palm_x,palm_y,palm_z,pinch_position_x,pinch_position_y,pinch_position_z,pinch_pred_position_x,pinch_pred_position_y,pinch_pred_position_z,is_pinching,pinch_strength,pinch_distance,grab_strength,confidence
11:20:51:8943,4.8618,0.0147,0.1245,0.2031,-0.0878,0.0802,0.2287,-0.0825,0.0562,0.2427,-0.0766,0.0399,0.2521,-0.0713,0.1019,0.2714,-0.0595,0.0814,0.2982,-0.0488,0.0645,0.3114,-0.0382,0.0492,0.3168,-0.0268,0.1165,0.2698,-0.0471,0.0999,0.2960,-0.0220,0.0833,0.3072,-0.0019,0.0702,0.3096,0.0123,0.1331,0.2609,-0.0336,0.1214,0.2874,-0.0084,0.1098,0.2974,0.0083,0.0987,0.3005,0.0210,0.1454,0.2468,-0.0241,0.1383,0.2589,-0.0005,0.1265,0.2624,0.0168,0.1162,0.2618,0.0270,0.1231,0.2458,-0.0527,0.0430,0.2736,-0.0565,0.0556,0.2662,-0.0379,0,0.0000,66.9628,0.00,1.00
11:20:51:9154,4.8828,0.0129,0.1246,0.2032,-0.0880,0.0802,0.2287,-0.0825,0.0563,0.2427,-0.0766,0.0399,0.2522,-0.0713,0.1020,0.2715,-0.0597,0.0814,0.2983,-0.0489,0.0645,0.3115,-0.0382,0.0492,0.3168,-0.0269,0.1165,0.2700,-0.0472,0.0999,0.2962,-0.0221,0.0833,0.3073,-0.0020,0.0702,0.3097,0.0122,0.1332,0.2610,-0.0337,0.1214,0.2876,-0.0085,0.1098,0.2976,0.0082,0.0988,0.3007,0.0209,0.1455,0.2470,-0.0243,0.1384,0.2591,-0.0006,0.1265,0.2626,0.0167,0.1162,0.2619,0.0269,0.1231,0.2460,-0.0528,0.0430,0.2737,-0.0565,0.0556,0.2663,-0.0380,0,0.0000,66.9464,0.00,1.00
11:20:51:9224,4.8899,0.0060,0.1246,0.2034,-0.0881,0.0803,0.2288,-0.0826,0.0563,0.2428,-0.0766,0.0400,0.2523,-0.0713,0.1019,0.2717,-0.0598,0.0814,0.2984,-0.0490,0.0644,0.3116,-0.0384,0.0491,0.3169,-0.0270,0.1165,0.2701,-0.0473,0.0998,0.2963,-0.0222,0.0832,0.3074,-0.0021,0.0701,0.3098,0.0121,0.1332,0.2612,-0.0338,0.1214,0.2878,-0.0086,0.1098,0.2978,0.0081,0.0988,0.3009,0.0207,0.1455,0.2471,-0.0244,0.1384,0.2592,-0.0007,0.1265,0.2627,0.0166,0.1162,0.2620,0.0268,0.1231,0.2461,-0.0529,0.0430,0.2738,-0.0565,0.0556,0.2664,-0.0381,0,0.0000,66.9096,0.00,1.00
11:20:51:9284,4.8959,0.0063,0.1246,0.2034,-0.0881,0.0803,0.2288,-0.0826,0.0563,0.2428,-0.0766,0.0400,0.2523,-0.0713,0.1019,0.2717,-0.0598,0.0814,0.2984,-0.0490,0.0644,0.3116,-0.0384,0.0491,0.3169,-0.0270,0.1165,0.2701,-0.0473,0.0998,0.2963,-0.0222,0.0832,0.3074,-0.0021,0.0701,0.3098,0.0121,0.1332,0.2612,-0.0338,0.1214,0.2878,-0.0086,0.1098,0.2978,0.0081,0.0988,0.3009,0.0207,0.1455,0.2471,-0.0244,0.1384,0.2592,-0.0007,0.1265,0.2627,0.0166,0.1162,0.2620,0.0268,0.1231,0.2461,-0.0529,0.0430,0.2738,-0.0565,0.0556,0.2664,-0.0381,0,0.0000,66.9096,0.00,1.00
11:20:51:9344,4.9019,0.0061,0.1247,0.2036,-0.0882,0.0803,0.2290,-0.0827,0.0564,0.2430,-0.0767,0.0401,0.2524,-0.0713,0.1020,0.2719,-0.0599,0.0814,0.2986,-0.0491,0.0644,0.3117,-0.0384,0.0491,0.3169,-0.0271,0.1165,0.2703,-0.0474,0.0999,0.2965,-0.0223,0.0833,0.3076,-0.0022,0.0702,0.3099,0.0120,0.1332,0.2614,-0.0339,0.1214,0.2880,-0.0088,0.1098,0.2981,0.0079,0.0988,0.3011,0.0206,0.1455,0.2473,-0.0245,0.1384,0.2594,-0.0008,0.1265,0.2629,0.0165,0.1162,0.2622,0.0267,0.1231,0.2463,-0.0530,0.0431,0.2739,-0.0566,0.0557,0.2665,-0.0382,0,0.0000,66.8327,0.00,1.00
11:20:51:9408,4.9083,0.0062,0.1248,0.2038,-0.0882,0.0804,0.2292,-0.0827,0.0564,0.2432,-0.0767,0.0402,0.2526,-0.0712,0.1020,0.2720,-0.0600,0.0814,0.2987,-0.0492,0.0644,0.3118,-0.0385,0.0491,0.3170,-0.0272,0.1165,0.2705,-0.0475,0.0999,0.2967,-0.0224,0.0832,0.3077,-0.0022,0.0701,0.3101,0.0120,0.1332,0.2616,-0.0340,0.1215,0.2882,-0.0088,0.1098,0.2983,0.0079,0.0988,0.3014,0.0205,0.1456,0.2475,-0.0245,0.1384,0.2597,-0.0009,0.1265,0.2631,0.0164,0.1162,0.2624,0.0266,0.1232,0.2465,-0.0531,0.0431,0.2741,-0.0565,0.0557,0.2667,-0.0383,0,0.0000,66.7976,0.00,1.00
11:20:51:9468,4.9143,0.0059,0.1248,0.2038,-0.0882,0.0804,0.2292,-0.0827,0.0564,0.2432,-0.0767,0.0402,0.2526,-0.0712,0.1020,0.2720,-0.0600,0.0814,0.2987,-0.0492,0.0644,0.3118,-0.0385,0.0491,0.3170,-0.0272,0.1165,0.2705,-0.0475,0.0999,0.2967,-0.0224,0.0832,0.3077,-0.0022,0.0701,0.3101,0.0120,0.1332,0.2616,-0.0340,0.1215,0.2882,-0.0088,0.1098,0.2983,0.0079,0.0988,0.3014,0.0205,0.1456,0.2475,-0.0245,0.1384,0.2597,-0.0009,0.1265,0.2631,0.0164,0.1162,0.2624,0.0266,0.1232,0.2465,-0.0531,0.0431,0.2741,-0.0565,0.0557,0.2667,-0.0383,0,0.0000,66.7976,0.00,1.00
11:20:51:9523,4.9198,0.0061,0.1248,0.2039,-0.0883,0.0804,0.2294,-0.0827,0.0565,0.2434,-0.0766,0.0402,0.2528,-0.0712,0.1020,0.2722,-0.0600,0.0813,0.2989,-0.0492,0.0643,0.3119,-0.0385,0.0490,0.3170,-0.0272,0.1166,0.2707,-0.0475,0.0999,0.2969,-0.0224,0.0832,0.3079,-0.0023,0.0701,0.3103,0.0120,0.1332,0.2618,-0.0340,0.1214,0.2885,-0.0089,0.1098,0.2985,0.0078,0.0987,0.3016,0.0204,0.1456,0.2477,-0.0246,0.1384,0.2599,-0.0009,0.1265,0.2633,0.0164,0.1162,0.2626,0.0266,0.1232,0.2467,-0.0531,0.0432,0.2742,-0.0565,0.0557,0.2668,-0.0383,0,0.0000,66.7224,0.00,1.00
11:20:51:9583,4.9258,0.0060,0.1248,0.2039,-0.0883,0.0804,0.2294,-0.0827,0.0565,0.2434,-0.0766,0.0402,0.2528,-0.0712,0.1020,0.2722,-0.0600,0.0813,0.2989,-0.0492,0.0643,0.3119,-0.0385,0.0490,0.3170,-0.0272,0.1166,0.2707,-0.0475,0.0999,0.2969,-0.0224,0.0832,0.3079,-0.0023,0.0701,0.3103,0.0120,0.1332,0.2618,-0.0340,0.1214,0.2885,-0.0089,0.1098,0.2985,0.0078,0.0987,0.3016,0.0204,0.1456,0.2477,-0.0246,0.1384,0.2599,-0.0009,0.1265,0.2633,0.0164,0.1162,0.2626,0.0266,0.1232,0.2467,-0.0531,0.0432,0.2742,-0.0565,0.0557,0.2668,-0.0383,0,0.0000,66.7224,0.00,1.00
11:20:51:9643,4.9318,0.0061,0.1249,0.2042,-0.0883,0.0805,0.2296,-0.0827,0.0566,0.2435,-0.0766,0.0403,0.2528,-0.0711,0.1020,0.2725,-0.0600,0.0813,0.2991,-0.0492,0.0642,0.3120,-0.0384,0.0489,0.3171,-0.0271,0.1166,0.2710,-0.0475,0.0999,0.2971,-0.0224,0.0832,0.3082,-0.0023,0.0701,0.3105,0.0120,0.1333,0.2621,-0.0340,0.1215,0.2888,-0.0089,0.1098,0.2989,0.0078,0.0987,0.3020,0.0204,0.1456,0.2480,-0.0246,0.1385,0.2602,-0.0009,0.1266,0.2636,0.0164,0.1162,0.2630,0.0266,0.1233,0.2470,-0.0532,0.0432,0.2742,-0.0564,0.0557,0.2670,-0.0383,0,0.0000,66.7180,0.00,1.00
